@relation "A_B"

@attribute attr0 string
@attribute attr1 string
@attribute attr2 string
@attribute attr3 string
@attribute attr4 string
@attribute relation {'A', 'B'}
@attribute class {'ID44461220129', 'ID4450127238399810001', 'ID4450127238399810002', 'ID4450127238399810003', 'ID4447124106889910001', 'ID4449126128929710001', 'ID4450127238399810004', 'ID4447124106889910002', 'ID4449126128929710002', 'ID4449126128929710003', 'ID4449126128929710004', 'ID4448125110715010001', 'ID4448125110715010002', 'ID4448125110715010003', 'ID4447124106921010001', 'ID4448125110715010004', 'ID4447124106921010002', 'ID4447124106900410001', 'ID4448125110715010005', 'ID4448125110819010001', 'ID4448125110819010002', 'ID4450127238404610001', 'ID4448125110819010003', 'ID4450127238374110001', 'ID4450127238404610002', 'ID4448125110819010004', 'ID4450127238353510001', 'ID4450127238374110002', 'ID4448125110815810001', 'ID4450127238353510002', 'ID4450127238374110003', 'ID4450127238353510003', 'ID4450127238391510001', 'ID4448125110815810003', 'ID4450127238370910001', 'ID4450127238353510004', 'ID4450127238391510002', 'ID4448125110815810004', 'ID4449126128942010001', 'ID4448125110815810005', 'ID4447124106881610001', 'ID4446117475', 'ID4449126128942010002', 'ID4449126128942010003', 'ID4449126128942010004', 'ID4446117397', 'ID4446117479', 'ID4446117398', 'ID4448125110701010001', 'ID4448125110701010002', 'ID4448125110701010003', 'ID4448125110701010004', 'ID4448125110701010005', 'ID4448125110701010006', 'ID4448125110822410001', 'ID4448125110822410002', 'ID4448125110801810001', 'ID4448125110822410003', 'ID4448125110801810002', 'ID4448125110822410004', 'ID4445112314666410001', 'ID4445112314666410002', 'ID4447124106925120002', 'ID4450127238407910001', 'ID4450127238398010001', 'ID4450127238407910002', 'ID4450127238377410001', 'ID4450127238398010002', 'ID4450127238356810001', 'ID4450127238377410002', 'ID4450127238356810002', 'ID4450127238377410003', 'ID444611540953', 'ID44461220142', 'ID4450127238356810003', 'ID444611540954', 'ID444611540955', 'ID4449126128945310001', 'ID4449126128945310002', 'ID44461160351', 'ID4447124106899810001', 'ID4449126128939610001', 'ID4447124106899810002', 'ID4449126128939610002', 'ID4447124106910310001', 'ID4447124106910310002', 'ID4447124106910310003', 'ID4448125110808310001', 'ID4448125110808310002', 'ID4450127238384010001', 'ID4448125110808310003', 'ID4450127238384010002', 'ID4448125110808310004', 'ID4447124106904610001', 'ID4450127238384010003', 'ID4448125110808310005', 'ID4448125110795210001', 'ID4447124106904610002', 'ID4447124106874110001', 'ID4450127238384010004', 'ID444611541056', 'ID4450127238380810001', 'ID4450127238384010005', 'ID4450127238380810002', 'ID4447124106891510001', 'ID4449126128931310001', 'ID4450127238380810003', 'ID4449126128931310002', 'ID4450127238380810004', 'ID44461220231', 'ID44461160444', 'ID4448125110800010001', 'ID4450127238406110001', 'ID4448125110811710001', 'ID4450127238355010001', 'ID4450127238355010002', 'ID4445113314675510001', 'ID4445113314675510002', 'ID4445113314675510003', 'ID4450127238349310001', 'ID4450127238349310002', 'ID4450127238349310003', 'ID4450127238387310001', 'ID4450127238366710001', 'ID4450127238387310002', 'ID4447124106898010001', 'ID4447124106907910001', 'ID4450127238366710002', 'ID4450127238387310003', 'ID4447124106898010002', 'ID4447124106877410001', 'ID4449126128949510001', 'ID44461161345', 'ID445012723840870000', 'ID4449126128928910001', 'ID4449126128949510002', 'ID4446121011', 'ID4449126128928910002', 'ID4447124106920210001', 'ID4445113314682110001', 'ID4447124106920210002', 'ID4445113314682110002', 'ID4448125110818210001', 'ID4450127238403810001', 'ID4450127238403810002', 'ID4447124106914510001', 'ID4450127238352710001', 'ID4447124106914510002', 'ID4450127238352710002', 'ID4450127238390710001', 'ID4450127238352710003', 'ID4450127238390710002', 'ID4450127238390710003', 'ID4449126128941210001', 'ID4447124106880810001', 'ID4450127238390710004', 'ID4449126128941210002', 'ID4447124106880810002', 'ID4450127238390710005', 'ID4447124106880810003', 'ID44461221227', 'ID444712410689230000', 'ID4446120210', 'ID4448125110804210001', 'ID4448125110821610001', 'ID4448125110821610002', 'ID4448125110821610003', 'ID4447124106906110001', 'ID4447124106906110002', 'ID4445112314665610001', 'ID4445112314665610002', 'ID4450127238359210001', 'ID4450127238359210002', 'ID4450127238397210001', 'ID4450127238397210002', 'ID4450127238376610001', 'ID4447124106917810001', 'ID4445113314679710001', 'ID4450127238397210003', 'ID4450127238376610002', 'ID4447124106917810002', 'ID4447124106887310001', 'ID4449126128927110001', 'ID4450127238397210004', 'ID4450127238376610003', 'ID4447124106887310002', 'ID4449126128927110002', 'ID4450127257775510001', 'ID4447124106887310003', 'ID4449126128927110003', 'ID4450127257775510002', 'ID4447124258794710001', 'ID4449126128938810001', 'ID4449126128938810002', 'ID44461181048', 'ID445012723837740000', 'ID4449126128938810003', 'ID44461181049', 'ID4449126128938810004', 'ID4445112314672210001', 'ID4445112314672210002', 'ID4445112314672210003', 'ID4448125110807510001', 'ID4450127238383210001', 'ID4447124106924410001', 'ID4450127238362610001', 'ID4450127238383210002', 'ID4450127238362610002', 'ID4450127238383210004', 'ID4450127238383210005', 'ID4447124106890710001', 'ID4449126128930510001', 'ID4447124106890710002', 'ID4449126128930510002', 'ID4447124106890710003', 'ID4449126128930510003', 'ID4447124106890710004', 'ID4448125110699610001', 'ID4449126128930510004', 'ID4450127238394910001', 'ID4447124106890710005', 'ID4448125110699610002', 'ID4449126128930510005', 'ID4450127238394910002', 'ID4447124106890710006', 'ID4448125110699610003', 'ID4450127238394910003', 'ID4450127238394910004', 'ID4450127238405310001', 'ID4450127238405310002', 'ID4447124106916010001', 'ID4448125110670710002', 'ID4448125110670710003', 'ID4450127238369110001', 'ID4450127238348510001', 'ID4450127238386510001', 'ID4450127238386510002', 'ID4447124106897210001', 'ID4449126128937010001', 'ID4450127238386510003', 'ID4450127238365910002', 'ID4447124106876610001', 'ID4447124106897210002', 'ID4449126128937010002', 'ID4447124106876610002', 'ID4447124106897210003', 'ID4447124106897210004', 'ID4447124106897210005', 'ID44461230326', 'ID44461160650', 'ID44461230328', 'ID4449126128948710001', 'ID4449126128948710002', 'ID4449126128948710003', 'ID444712425879540000', 'ID4445113314681310001', 'ID4445113314681310002', 'ID4445113314681310003', 'ID4448125110817410001', 'ID4445113314681310004', 'ID4445113314681310005', 'ID4450127238393110001', 'ID4445113314681310006', 'ID4450127238393110002', 'ID4447124106913710001', 'ID4450127238372510001', 'ID4450127238393110003', 'ID4447124106883210001', 'ID4447124106913710002', 'ID4447124106883210002', 'ID4447124106913710003', 'ID4447124106913710004', 'ID4447124106913710005', 'ID4449126128940410001', 'ID4449126128940410002', 'ID44461230330', 'ID4448125110798610001', 'ID4448125110798610002', 'ID44461230332', 'ID4448125110798610003', 'ID4447124106894910001', 'ID4448125110798610004', 'ID44461220533', 'ID444611554', 'ID4449126128934710001', 'ID4447124106894910002', 'ID4449126128934710002', 'ID4449126128934710003', 'ID4449126128934710004', 'ID4448125110714310001', 'ID4448125110803410001', 'ID4448125110714310002', 'ID4448125110803410002', 'ID4448125110714310003', 'ID4448125110803410003', 'ID4448125110820810001', 'ID4448125110803410004', 'ID4447124106905310001', 'ID4447124106905310002', 'ID4450127238409510001', 'ID4450127238409510002', 'ID4450127238379010001', 'ID4450127238409510003', 'ID4450127238379010002', 'ID4450127238358410001', 'ID4450127238379010003', 'ID4450127238396410001', 'ID4450127238379010004', 'ID4450127238375810001', 'ID4445113314678910001', 'ID4447124106886510001', 'ID4449126128926310001', 'ID4445113314678910002', 'ID4447124106886510002', 'ID444611561', 'ID4449126128926310002', 'ID444611482', 'ID444611563', 'ID44461220543', 'ID444611486', 'ID4450127238401210001', 'ID4450127238401210002', 'ID4450127238401210003', 'ID4450127238350110001', 'ID4450127238350110002', 'ID4445112314671410001', 'ID4445112314671410002', 'ID4445112314671410003', 'ID4445112314671410004', 'ID4450127238382410001', 'ID4447124106923610001', 'ID4450127238382410002', 'ID4450127238361810001', 'ID4447124106923610002', 'ID4450127238382410003', 'ID4450127238361810002', 'ID4447124106923610003', 'ID4450127238382410004', 'ID4450127238361810003', 'ID4450127238382410005', 'ID4450127238361810004', 'ID4449126128950310001', 'ID4450127238361810005', 'ID4449126128950310002', 'ID4448125110698810001', 'ID4448125110698810002', 'ID4449126128944610001', 'ID4449126128944610002', 'ID4447124106915210001', 'ID4445113314677110001', 'ID4445113314677110002', 'ID4445113314677110003', 'ID4445113314677110004', 'ID4447124106909510001', 'ID4450127238368310001', 'ID4447124106879010001', 'ID4447124106909510002', 'ID4450127238368310002', 'ID4447124106879010002', 'ID4447124106909510003', 'ID4450127238368310003', 'ID4447124106879010003', 'ID4450127238368310004', 'ID4450127238385710001', 'ID4447124106896410001', 'ID4450127238368310005', 'ID4450127238385710002', 'ID4449126128936210001', 'ID4447124106875810001', 'ID4450127238385710003', 'ID4449126128936210002', 'ID4447124106875810002', 'ID4449126128936210003', 'ID4449126128936210004', 'ID4449126128947910001', 'ID4449126128947910002', 'ID4449126128947910003', 'ID4450127238360010001', 'ID4450127238360010002', 'ID4445113314680510001', 'ID4445113314680510002', 'ID4445113314680510003', 'ID4448125110816610001', 'ID4450127238354310001', 'ID4445113314680510004', 'ID4448125110816610002', 'ID4450127238354310002', 'ID4445113314680510005', 'ID4448125110816610003', 'ID4450127238354310003', 'ID4445113314680510006', 'ID4450127238371710001', 'ID4447124106912910001', 'ID4448125110816610004', 'ID4445113314674810001', 'ID4450127238371710002', 'ID4447124106882410001', 'ID4447124106912910002', 'ID4448125110816610005', 'ID4445113314674810002', 'ID4447124106882410002', 'ID4447124106912910003', 'ID4445113314674810003', 'ID4447124106912910004', 'ID4445113314674810004', 'ID4447124106912910005', 'ID4445113314674810005', 'ID4448125110797810001', 'ID4448125110797810002', 'ID4448125110797810003', 'ID4449126128933910001', 'ID4449126128933910002', 'ID4447124258795410001', 'ID44461220734', 'ID4449126128933910003', 'ID44461191152', 'ID44461230536', 'ID444712426108480000', 'ID4448125110802610001', 'ID4448125110802610002', 'ID4448125110802610003', 'ID4448125110802610004', 'ID4445112314667210001', 'ID4445112314667210002', 'ID4445112314667210003', 'ID4445112314667210004', 'ID4445112314667210005', 'ID4445112314667210006', 'ID4450127238378210001', 'ID4450127238357610001', 'ID4447124106919410002', 'ID4450127238378210002', 'ID4450127238357610002', 'ID4450127238378210003', 'ID4450127238395610001', 'ID4450127238378210004', 'ID4450127238395610002', 'ID4449126128946110001', 'ID4447124106885710001', 'ID4449126128946110002', 'ID4449126128925510001', 'ID4449126128925510002', 'ID4450127238389910001', 'ID445012723837330000', 'ID4450127238389910002', 'ID44461161046', 'ID4450127238389910003', 'ID44461161047', 'ID445012723836910000', 'ID445012723838570000', 'ID444712410688570000', 'ID4448125110705110001', 'ID4450127238400410001', 'ID4448125110705110002', 'ID4447124106911110001', 'ID4445113314673010001', 'ID4447124106911110002', 'ID4445113314673010002', 'ID4445113314673010003', 'ID4445112314670610001', 'ID4445113314673010004', 'ID4445112314670610002', 'ID4445113314673010005', 'ID4450127238364210001', 'ID4450127238364210002', 'ID4448125110805910001', 'ID4448125110796010001', 'ID4448125110796010002', 'ID4445112314664910001', 'ID4447124106922810001', 'ID4450127238381610001', 'ID4447124106922810002', 'ID4447124106892310001', 'ID4450127238381610002', 'ID4449126128932110001', 'ID4447124106922810003', 'ID4447124106892310002', 'ID4450127238381610003', 'ID4449126128932110002', 'ID4447124106922810004', 'ID4450127238381610004', 'ID4449126128932110003', 'ID4449126128932110004', 'ID4449126128932110005', 'ID4449126128943810001', 'ID4449126128943810002', 'ID444712410690380000', 'ID4449126128943810003', 'ID445012723835840000', 'ID4448125110702810001', 'ID4448125110702810002', 'ID4448125110702810003', 'ID4448125110702810004', 'ID4445113314676310001', 'ID4445113314676310002', 'ID4445113314676310003', 'ID4450127238388110001', 'ID4450127238367510001', 'ID4447124106908710001', 'ID4450127238388110002', 'ID4447124106908710002', 'ID4447124106908710003', 'ID4449126128935410001'}

@data
"ANDERSON", "", "", "4848", "BASSWOOD", 'A', 'ID4447124106922810001'
"ANDERSON", "", "", "4848", "BASSWOOD", 'A', 'ID4447124106922810003'
"ANDERSON", "", "", "4848", "BASSWOOD", 'A', 'ID4447124106922810004'
"ANDERSON", "", "", "4848", "BASSWOOD", 'A', 'ID4447124106922810002'
"AQUENDO", "CLARA", "J", "666", "STARKEY", 'A', 'ID4447124106881610001'
"BENITEZ", "LEARONAD", "A", "660", "STARKEY", 'A', 'ID4447124106879010001'
"BENITEZ", "SAMUEL", "R", "660", "STARKEY", 'A', 'ID4447124106879010003'
"BENITEZ", "DELORES", "R", "660", "STARKEY", 'A', 'ID4447124106879010002'
"BODNER", "JAMEL", "C", "102", "BANK", 'A', 'ID4447124106897210001'
"BODNER", "ROSETTA", "L", "102", "BANK", 'A', 'ID4447124106897210002'
"BODNER", "MADGE", "R", "102", "BANK", 'A', 'ID4447124106897210003'
"BODNER", "ROSALIND", "N", "102", "BANK", 'A', 'ID4447124106897210004'
"BODNER", "CAROLYN", "L", "102", "BANK", 'A', 'ID4447124106897210005'
"CENTURY", "IVAN", "R", "4906", "BASSWOOD", 'A', 'ID4447124106923610001'
"CENTURY", "RAMON", "L", "4906", "BASSWOOD", 'A', 'ID4447124106923610002'
"CENTURY", "ALICIA", "B", "4906", "BASSWOOD", 'A', 'ID4447124106923610003'
"CHEESMAN", "DONYA", "L", "690", "STARKEY", 'A', 'ID4447124106894910001'
"CHEESMAN", "DONTE", "", "690", "STARKEY", 'A', 'ID4447124106894910002'
"CONYERE", "DOMINIQUE", "S", "4836", "BASSWOOD", 'A', 'ID4447124106920210001'
"CONYERE", "CONNIE", "E", "4836", "BASSWOOD", 'A', 'ID4447124106920210002'
"COSGRAVE", "SEKOV", "L", "202", "BANK", 'A', 'ID4447124106912910004'
"COSGRAVE", "TIERRA", "", "202", "BANK", 'A', 'ID4447124106912910001'
"COSGRAVE", "THERSA", "G", "202", "BANK", 'A', 'ID4447124106912910003'
"COSGRAVE", "", "L", "202", "BANK", 'A', 'ID4447124106912910002'
"COSGRAVE", "", "C", "202", "BANK", 'A', 'ID4447124106912910005'
"DANIEL LEIVA", "SAMMY", "J", "729", "RIDLEY", 'A', 'ID4447124106899810001'
"DANIEL LEIVA", "THAOLYNN", "R", "729", "RIDLEY", 'A', 'ID4447124106899810002'
"DARCOURT", "", "G", "4802", "BASSWOOD", 'A', 'ID4447124106915210001'
"DECANAY", "MICHEAL", "A", "112", "MITCHELL", 'A', 'ID4447124106909510001'
"DECANAY", "AJASIA", "M", "112", "MITCHELL", 'A', 'ID4447124106909510002'
"DECANAY", "BRIANCE", "G", "112", "MITCHELL", 'A', 'ID4447124106909510003'
"DIVERS", "MILEORD", "J", "658", "STARKEY", 'A', 'ID4447124106877410001'
"DOMINGUEZ", "FRANKLIN", "K", "672", "STARKEY", 'A', 'ID4447124106883210001'
"DOMINGUEZ", "SHAVON", "M", "672", "STARKEY", 'A', 'ID4447124106883210002'
"FAUST", "ANNA", "N", "652", "STARKEY", 'A', 'ID4447124106874110001'
"FISCHGRUND", "WESTLEY", "M", "110", "MITCHELL", 'A', 'ID4447124106908710003'
"FISCHGRUND", "NADESDIA", "A", "110", "MITCHELL", 'A', 'ID4447124106908710001'
"FISCHGRUND", "DANYCE", "L", "110", "MITCHELL", 'A', 'ID4447124106908710002'
"GENE", "MICHAEL", "C", "686", "STARKEY", 'A', 'ID4447124106892310001'
"GENE", "CASSANDRA", "C", "686", "STARKEY", 'A', 'ID4447124106892310002'
"GIERINGER", "GHOLOM", "W", "200", "BANK", 'A', 'ID4447124106913710002'
"GIERINGER", "JEFFERY", "W", "200", "BANK", 'A', 'ID4447124106913710003'
"GIERINGER", "JEFFERY", "W", "200", "BANK", 'A', 'ID4447124106913710004'
"GIERINGER", "DOUGLAS", "D", "200", "BANK", 'A', 'ID4447124106913710005'
"GIERINGER", "MAIRE", "T", "200", "BANK", 'A', 'ID4447124106913710001'
"GREEN", "TEMPESTT", "Z", "4816", "BASSWOOD", 'A', 'ID4447124106917810001'
"GREEN", "", "L", "4816", "BASSWOOD", 'A', 'ID4447124106917810002'
"HENNEGGEY", "", "L", "102", "MITCHELL", 'A', 'ID4447124106906110001'
"HENNEGGEY", "", "L", "102", "MITCHELL", 'A', 'ID4447124106906110002'
"HILL", "RAYMOND", "G", "4810", "BASSWOOD", 'A', 'ID4447124106916010001'
"JIMENCZ", "IRVIN", "V", "214", "BANK", 'A', 'ID4447124106910310001'
"JIMENCZ", "AUNDERE", "V", "214", "BANK", 'A', 'ID4447124106910310003'
"JIMENCZ", "WILLPAMINA", "S", "214", "BANK", 'A', 'ID4447124106910310002'
"JIMENEZ", "BARBARA", "M", "674", "STARKEY", 'A', 'ID4447124106885710001'
"KAY", "", "", "4926", "BASSWOOD", 'A', 'ID4447124258794710001'
"KELLY", "", "", "4932", "BASSWOOD", 'A', 'ID4447124258795410001'
"KILLION", "JORGE", "L", "4914", "BASSWOOD", 'A', 'ID4447124106924410001'
"LAKATOS", "TONYA", "M", "206", "BANK", 'A', 'ID4447124106911110002'
"LAKATOS", "DANEILLE", "S", "206", "BANK", 'A', 'ID4447124106911110001'
"LASSITER", "", "J", "654", "STARKEY", 'A', 'ID4447124106875810001'
"LASSITER", "", "", "654", "STARKEY", 'A', 'ID4447124106875810002'
"LASSITER", "DOROTHEA", "K", "656", "STARKEY", 'A', 'ID4447124106876610001'
"LASSITER", "LELIA", "", "656", "STARKEY", 'A', 'ID4447124106876610002'
"LETO", "JOSEPH", "E", "104", "MITCHELL", 'A', 'ID4447124106907910001'
"MALDONADO", "DEWIGHT", "B", "678", "STARKEY", 'A', 'ID4447124106887310002'
"MALDONADO", "MARQUISE", "", "678", "STARKEY", 'A', 'ID4447124106887310003'
"MALDONADO", "MABLE", "", "678", "STARKEY", 'A', 'ID4447124106887310001'
"MALENDES", "", "", "705", "RIDLEY", 'A', 'ID4447124106905310002'
"MALENDES", "", "A", "705", "RIDLEY", 'A', 'ID4447124106905310001'
"MCCLAIN", "", "", "4920", "BASSWOOD", 'A', 'ID4447124106925120002'
"MOSQUERA", "AISHA", "C", "682", "STARKEY", 'A', 'ID4447124106890710001'
"MOSQUERA", "ANDREA", "G", "682", "STARKEY", 'A', 'ID4447124106890710004'
"MOSQUERA", "ROMINE", "O", "682", "STARKEY", 'A', 'ID4447124106890710002'
"MOSQUERA", "TANYA", "O", "682", "STARKEY", 'A', 'ID4447124106890710003'
"MOSQUERA", "PRINCETTA", "D", "682", "STARKEY", 'A', 'ID4447124106890710005'
"MOSQUERA", "LAKESHIA", "O", "682", "STARKEY", 'A', 'ID4447124106890710006'
"MOSQUERA", "HERMEN", "M", "684", "STARKEY", 'A', 'ID4447124106891510001'
"PAIGIE", "XANTHE", "N", "4830", "BASSWOOD", 'A', 'ID4447124106919410002'
"PARVA", "JEMES", "V", "676", "STARKEY", 'A', 'ID4447124106886510001'
"PARVA", "", "G", "676", "STARKEY", 'A', 'ID4447124106886510002'
"RODRIGUEZ", "TOWANDA", "S", "670", "STARKEY", 'A', 'ID4447124106882410001'
"RODRIGUEZ", "GEARLDINE", "", "670", "STARKEY", 'A', 'ID4447124106882410002'
"ROUNSEVELLE", "DEREK", "", "100", "BANK", 'A', 'ID4447124106896410001'
"SKANOS", "DAVON", "B", "104", "BANK", 'A', 'ID4447124106898010001'
"SKANOS", "LENORA", "S", "104", "BANK", 'A', 'ID4447124106898010002'
"TORRES", "RANDOLPH", "E", "680", "STARKEY", 'A', 'ID4447124106889910001'
"TORRES", "FREEMAN", "R", "680", "STARKEY", 'A', 'ID4447124106889910002'
"VALDES", "WAYNE", "H", "723", "RIDLEY", 'A', 'ID4447124106904610001'
"VALDES", "THRESA", "", "723", "RIDLEY", 'A', 'ID4447124106904610002'
"VARGAS", "BRANDEN", "R", "664", "STARKEY", 'A', 'ID4447124106880810001'
"VARGAS", "ALEXANDER", "R", "664", "STARKEY", 'A', 'ID4447124106880810002'
"VARGAS", "ELIZABETH", "L", "664", "STARKEY", 'A', 'ID4447124106880810003'
"VARGAS", "THUYKIM", "", "727", "RIDLEY", 'A', 'ID4447124106900410001'
"WEBSTER", "DANNY", "A", "4842", "BASSWOOD", 'A', 'ID4447124106921010002'
"WEBSTER", "SHALLY", "", "4842", "BASSWOOD", 'A', 'ID4447124106921010001'
"WICZALKOWSKI", "ALEXANDER", "J", "210", "BANK", 'A', 'ID4447124106914510001'
"WICZALKOWSKI", "DOLORES", "A", "210", "BANK", 'A', 'ID4447124106914510002'
"BANK", "", "D", "6540", "MALIBU", 'A', 'ID4448125110715010004'
"BANK", "", "", "6540", "MALIBU", 'A', 'ID4448125110715010005'
"BANK", "", "A", "6540", "MALIBU", 'A', 'ID4448125110715010001'
"BANK", "", "P", "6540", "MALIBU", 'A', 'ID4448125110715010002'
"BANK", "", "P", "6540", "MALIBU", 'A', 'ID4448125110715010003'
"BARNES", "", "B", "6550", "MALIBU", 'A', 'ID4448125110796010002'
"BARNES", "", "C", "6550", "MALIBU", 'A', 'ID4448125110796010001'
"BURGERSS", "", "L", "6556", "MALIBU", 'A', 'ID4448125110797810002'
"BURGERSS", "", "D", "6556", "MALIBU", 'A', 'ID4448125110797810003'
"BURGERSS", "", "L", "6556", "MALIBU", 'A', 'ID4448125110797810001'
"BURGESS", "", "L", "6560", "MALIBU", 'A', 'ID4448125110798610004'
"BURGESS", "", "E", "6560", "MALIBU", 'A', 'ID4448125110798610001'
"BURGESS", "", "C", "6560", "MALIBU", 'A', 'ID4448125110798610002'
"BURGESS", "", "D", "6560", "MALIBU", 'A', 'ID4448125110798610003'
"BURRISS", "", "A", "6500", "MALIBU", 'A', 'ID4448125110699610001'
"BURRISS", "", "", "6500", "MALIBU", 'A', 'ID4448125110699610002'
"BURRISS", "", "", "6500", "MALIBU", 'A', 'ID4448125110699610003'
"BUTLER", "", "", "6546", "MALIBU", 'A', 'ID4448125110795210001'
"CHISOLM", "", "A", "6578", "MALIBU", 'A', 'ID4448125110801810002'
"CHISOLM", "", "J", "6578", "MALIBU", 'A', 'ID4448125110801810001'
"COATES", "", "", "6566", "MALIBU", 'A', 'ID4448125110800010001'
"CONRON", "LATISHA", "D", "110", "ELDORADO", 'A', 'ID4448125110811710001'
"COTTEN", "", "C", "6526", "MALIBU", 'A', 'ID4448125110714310002'
"COTTEN", "", "R", "6526", "MALIBU", 'A', 'ID4448125110714310003'
"COTTEN", "", "A", "6526", "MALIBU", 'A', 'ID4448125110714310001'
"DIGGS", "", "A", "4952", "BASSWOOD", 'A', 'ID4448125110698810002'
"DIGGS", "", "A", "4952", "BASSWOOD", 'A', 'ID4448125110698810001'
"DORSIE", "", "A", "117", "ELDORADO", 'A', 'ID4448125110818210001'
"DUNNOCK", "", "M", "953", "CARL VINSON", 'A', 'ID4448125110805910001'
"GOINS", "", "L", "115", "ELDORADO", 'A', 'ID4448125110819010001'
"GOINS", "", "T", "115", "ELDORADO", 'A', 'ID4448125110819010002'
"GOINS", "", "R", "115", "ELDORADO", 'A', 'ID4448125110819010003'
"GOINS", "", "", "115", "ELDORADO", 'A', 'ID4448125110819010004'
"GOWANS", "", "D", "6520", "MALIBU", 'A', 'ID4448125110705110002'
"GOWANS", "", "M", "6520", "MALIBU", 'A', 'ID4448125110705110001'
"HOERRLING", "REFUS", "D", "114", "ELDORADO", 'A', 'ID4448125110816610003'
"HOERRLING", "CHRISTOPHER", "D", "114", "ELDORADO", 'A', 'ID4448125110816610004'
"HOERRLING", "ZACHARY", "B", "114", "ELDORADO", 'A', 'ID4448125110816610005'
"HOERRLING", "TRAINA", "A", "114", "ELDORADO", 'A', 'ID4448125110816610001'
"HOERRLING", "ANA", "C", "114", "ELDORADO", 'A', 'ID4448125110816610002'
"HOLMES", "GERALDO", "S", "108", "ELDORADO", 'A', 'ID4448125110808310002'
